open;close;high;low;value;volume;begin;end
7461.95;5324.68;7794.4;4185.2;99235389541;0;2022-02-01 00:00:00;2022-02-28 00:00:00
8350.35;7403.62;8611.81;6972.08;94163356547.91998;0;2022-01-01 00:00:00;2022-01-31 00:00:00
8935.63;8299.39;9009.19;8069.19;76615978346.52;0;2021-12-01 00:00:00;2021-12-30 00:00:00
9447.32;8945.72;9694.02;8781.49;119691572040.78;0;2021-11-01 00:00:00;2021-11-30 00:00:00
9041.42;9411.34;9519.1;8990.89;87953900980.5;0;2021-10-01 00:00:00;2021-10-29 00:00:00
9393.96;9095.57;9408.58;8956.68;97032058450.17;0;2021-09-01 00:00:00;2021-09-30 00:00:00
8871.5;9399.46;9447.25;8798.03;72591998220.46;0;2021-08-01 00:00:00;2021-08-31 00:00:00
9117.38;8835.28;9328.98;8694.82;65192632235.42;0;2021-07-01 00:00:00;2021-07-30 00:00:00
9083.75;9124.66;9224.32;9021.09;87139700804.72;0;2021-06-01 00:00:00;2021-06-30 00:00:00
8792.66;9061.7;9065.09;8752.25;85402748743.27998;0;2021-05-01 00:00:00;2021-05-31 00:00:00
9030.26;8776.99;9077.46;8757.73;79306087987.93999;0;2021-04-01 00:00:00;2021-04-30 00:00:00
8704.48;9004.95;9055.09;8550.87;110222611108.8;0;2021-03-01 00:00:00;2021-03-31 00:00:00
8501.41;8656.4;9539.44;8433.55;92970118005.84;0;2021-02-01 00:00:00;2021-02-28 00:00:00
