open;close;high;low;value;volume;begin;end
1453.67;936.94;1547.25;610.33;41294710064.92261;0;2022-02-01 00:00:00;2022-02-28 00:00:00
1603.68;1435.23;1640.39;1260.55;40369381758.8905;0;2022-01-01 00:00:00;2022-01-31 00:00:00
1663.71;1595.76;1700.57;1514.57;29521911001.271267;0;2021-12-01 00:00:00;2021-12-30 00:00:00
1838.95;1645.81;1877.39;1585.65;34470688056.10969;0;2021-11-01 00:00:00;2021-11-30 00:00:00
1762.31;1843.83;1933.59;1754.69;33713910660.922886;0;2021-10-01 00:00:00;2021-10-29 00:00:00
1689.29;1777.74;1788.01;1689.29;29977280519.492332;0;2021-09-01 00:00:00;2021-09-30 00:00:00
1632.24;1684.16;1695.41;1618;20703479101.57358;0;2021-08-01 00:00:00;2021-08-31 00:00:00
1656.7;1625.76;1682.69;1551.73;21719945687.07065;0;2021-07-01 00:00:00;2021-07-30 00:00:00
1609.56;1653.78;1695.46;1609.56;25536279253.880177;0;2021-06-01 00:00:00;2021-06-30 00:00:00
1489.85;1597.54;1607.5;1489.2;23924383230.103737;0;2021-05-01 00:00:00;2021-05-31 00:00:00
1479.37;1485.03;1530.97;1406.33;25946964746.904697;0;2021-04-01 00:00:00;2021-04-30 00:00:00
1422.57;1477.11;1555.74;1413.15;29005175981.925392;0;2021-03-01 00:00:00;2021-03-31 00:00:00
1367.53;1411.93;1508.95;1362.64;24407368690.46802;0;2021-02-01 00:00:00;2021-02-28 00:00:00
